Aged Payables Summary,,
Report Endpoint ID,aged_payables_summary,
Date Range Options,to_date,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
PayeeName,Payee Name,string
AmountPayable,Amount Payable,decimal
NotYetDue,Not Yet Due,decimal
0To30,0-30,decimal
30To60,31-60,decimal
60To90,61-90,decimal
90Plus,91+,decimal
Property,Property,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
UnitId,Unit ID,id
30Plus,31+,decimal
60Plus,61+,decimal
InvoicePartyId,Payee ID,string
InvoicePartyType,Payee Type,string
,,
,,
Aged Receivable Detail,,
Report Endpoint ID,aged_receivables_detail,
Date Range Options,to_date,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
PayerName,Payer Name,string
InvoiceOccurredOn,Charge Date,date
PostingDate,Posting Date,date
GlAccountNumber,GL Account Number,string
GlAccountName,GL Account Name,string
TotalAmount,Total Amount,decimal
AmountReceivable,Amount Receivable,decimal
0To30,0-30,decimal
30To60,31-60,decimal
60To90,61-90,decimal
90Plus,91+,decimal
Property,Property,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
GlAccountId,GL Account ID,id
FutureCharges,Future Charges,decimal
30Plus,31+,decimal
60Plus,61+,decimal
OccupancyName,Unit & Payer Name,string
GlAccount,GL Account,string
UnitAddress,Unit Address,string
UnitStreet1,Unit Street Address 1,string
UnitStreet2,Unit Street Address 2,string
UnitCity,Unit City,string
UnitState,Unit State,string
UnitZip,Unit Zip,string
UnitName,Unit Name,string
UnitType,Unit Type,string
UnitTags,Unit Tags,text
TenantStatus,Tenant Status,string
PaymentPlan,Payment Plan,string
occupancy_id,Occupancy ID,id
UnitId,Unit ID,id
,,
,,
Bill Detail,,
Report Endpoint ID,bill_detail,
Date Range Options,"from_date, to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
ReferenceNumber,Reference,string
BillDate,Bill Date,date
DueDate,Due Date,date
Account,Account,string
Property,Property,string
Unit,Unit,string
PayeeName,Payee Name,string
Paid,Paid,decimal
Unpaid,Unpaid,decimal
CheckNumber,Check #,string
PaymentDate,Paid Date,date
Description,Description,string
PostingDate,Posting Date,date
AccountName,Account Name,string
AccountNumber,Account Number,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
WorkOrder,Work Order #,string
CashAccount,Cash Account,string
TxnId,Txn ID,id
UnitId,Unit ID,id
Quantity,Quantity,decimal
Rate,Rate,decimal
WorkOrderAssignee,Work Order Assignee,string
ApprovalStatus,Approval Status,string
LastApprover,Last Approver,string
NextApprovers,Next Approvers,string
DaysPendingApproval,Days Pending Approval,string
BoardApprovalStatus,Board Approval Status,string
TxnCreatedAt,Created At,datetime
TxnUpdatedAt,Last Edited At,datetime
CreatedBy,Created By,string
BankAccount,Bank Account,string
OtherPaymentType,Other Payment Type,string
PurchaseOrderNumber,Purchase Order Number,string
PurchaseOrderId,Purchase Order ID,id
ProjectId,Project ID,id
ServiceRequestId,Service Request ID,id
VendorId,Vendor ID,id
,,
,,
Cancelled Workflows,,
Report Endpoint ID,cancelled_processes,
Date Range Options,none,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
AttachableFor,For,string
Property,Property,string
WorkflowName,Workflow Name,string
CancelledDate,Cancelled Date,string
CancelledBy,Cancelled By,string
CancellationReason,Cancellation Reason,string
,,
,,
Charge Detail,,
Report Endpoint ID,charge_detail,
Date Range Options,"from_date, to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
ChargeDate,Charge Date,date
ReceiptInfo,Type - Receipt Date - Reference,string
GlAccountNumber,Account Number,string
GlAccountName,Account Name,string
ChargedTo,Charged to,string
ChargeAmount,Charge Amount,decimal
PaidAmount,Paid Amount,decimal
Unit,Unit,string
UnitAddress,Unit Address,string
UnitStreet1,Unit Street Address 1,string
UnitStreet2,Unit Street Address 2,string
UnitCity,Unit City,string
UnitState,Unit State,string
UnitZip,Unit Zip,string
Property,Property,string
PropertyName,Property Name,string
PropertyId,Property ID,id
TxnId,Txn ID,id
PartyId,Party ID,id
Owners,Owner(s),string
PostingDate,Posting Date,date
UnitID,Unit ID,id
ReceivedFromID,Charged to ID,id
GlAccountId,GL Account ID,id
,,
,,
Chart of Accounts,,
Report Endpoint ID,chart_of_accounts,
Date Range Options,none,
Columns Endpoint,Description,Type
GlAccountNumber,GL Account Number,string
GlAccountName,GL Account Name,string
GlAccountType,GL Account Type,titleized
SubAccountof,Sub Account of,string
OffsetAccount,Offset Account,string
Options,Options,titleized
Hidden,Hidden,string
SubjectToTaxAuthority,Subject To Tax Authority,yes_no
FundAccount,Fund Account,string
GlAccountId,GL Account ID,id
SubAccountOfId,Sub Account Of ID,id
OffsetAccountId,Offset Account ID,id
,,
,,
Check Register Detail (Enhanced),,
Report Endpoint ID,check_register_detail,
Date Range Options,"from_date, to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
BankAccount,Bank Account,string
PayeeName,Payee Name,string
CheckNumber,Check #,string
Cleared,Cleared,yes_no
CheckMemo,Check Memo,string
OccurredDate,Check Date,date
PaymentAmount,Payment Amount,decimal
PropertyName,Property Name,string
GLAccountNumber,GL Account #,string
GlAccountName,GL Account Name,string
InvoiceAmount,Amount,decimal
Remarks,Description,string
Reference,Bill Reference #,string
ACHBatchGenDate,ACH Batch Generation Date,date
PropertyAddress,Property Address,string
GLAccountId,Gl Account ID,id
PropertyId,Property ID,id
,,
,,
Completed Workflows,,
Report Endpoint ID,completed_processes,
Date Range Options,none,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
AttachableFor,For,string
Property,Property,string
WorkflowName,Workflow Name,string
CompletedDate,Completed Date,string
,,
,,
Delinquency,,
Report Endpoint ID,delinquency,
Date Range Options,none,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Columns Endpoint,Description,Type
Unit,Unit,string
Name,Name,string
TenantStatus,Tenant Status,string
Tags,Tags,text
PhoneNumbers,Phone Numbers,string
MoveIn,Move In,date
MoveOut,Move Out,date
Deposit,Deposit,decimal
AmountReceivable,Amount Receivable,decimal
DelinquentSubsidyAmount,Delinquent Subsidy Amount,decimal
0To30,0-30,decimal
30Plus,30+,decimal
LastPayment,Last Payment,date
PaymentAmount,Payment Amount,decimal
LateCount,Late Count,integer
PrimaryTenantEmail,Primary Tenant Email,string
UnitType,Unit Type,string
Property,Property,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
NotYetDue,Not Yet Due,decimal
30To60,30-60,decimal
60Plus,60+,decimal
60To90,60-90,decimal
90Plus,90+,decimal
PrepaymentAmount,Prepayment Amount,decimal
NSF,NSF Count,integer
CertifiedFundsOnly,Certified Funds Only,yes_no
Rent,Rent,decimal
DelinquentRent,Delinquent Rent,decimal
DelinquencyNotes,Delinquency Notes,mediumtext
MonthlyCharges,Monthly Charges,decimal
RentDueDay,Rent Due Day,integer
InCollections,In Collections,string
CollectionsAgency,Collections Agency,string
UnitId,Unit ID,id
OccupancyId,Occupancy ID,id
PaymentPlan,Payment Plan,decimal
,,
,,
Deposit Register,,
Report Endpoint ID,deposit_register,
Date Range Options,"from_date, to_date",
Columns Endpoint,Description,Type
DepositNumber,Deposit Number,string
ReceiptDate,Receipt Date,date
Payer,Payer,string
PropertyName,Property Name,string
Type,Type,string
Reference,Reference,string
Description,Description,string
DepositAmount,Deposit Amount,decimal
ReceiptAmount,Receipt Amount,decimal
Cleared,Cleared,yes_no
ReceiptDescription,Receipt Description,string
UnitName,Unit,string
PropertyId,Property ID,id
UnitId,Unit ID,id
,,
,,
General Ledger,,
Report Endpoint ID,general_ledger,
Date Range Options,"from_date, to_date",
Last Edited Range,"last_edited_from_date, last_edited_to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Accounting Basis Filter,,
Reversed Transactions Filter,,
Columns Endpoint,Description,Type
Property,Property,string
PostDate,Date,date
PartyName,Payee / Payer,string
Type,Type,string
Reference,Reference,string
Debit,Debit,decimal
Credit,Credit,decimal
Balance,Balance,decimal
Description,Description,string
GlAccountName,GL Account,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
Unit,Unit,string
Month,Month,string
Quarter,Quarter,string
Year,Year,string
BankAccount,Bank Account,string
TxnCreatedAt,Created At,datetime
TxnUpdatedAt,Last Edited At,datetime
CreatedBy,Created By,string
Remarks,Remarks,string
DepositDate,Deposit Date,date
DepositNumber,Deposit Number,string
CashAccount,Cash Account,string
PartyId,Party ID,id
TxnId,Txn ID,id
TxnDetailId,Txn Detail ID,id
UnitId,Unit ID,id
GlAccountId,GL Account ID,id
,,
,,
Gross Potential Rent,,
Report Endpoint ID,gross_potential_rent_enhanced,
Date Range Options,to_date,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Accounting Basis Filter,,
Columns Endpoint,Description,Type
Unit,Unit,string
BdBa,BD/BA,string
Tenant,Tenant,string
GrossPotentialRent,Gross Potential Rent,decimal
LossToMarket,Loss to Market,decimal
MonthlyRent,Monthly Rent,decimal
Concessions,- Concessions,decimal
VacancyLoss,- Vacancy Loss,decimal
ModelLoss,- Model Loss,decimal
RenovationLoss,- Renovation Loss,decimal
OfficeLoss,- Office Loss,decimal
DelinquencyLoss,- Delinquency Loss,decimal
NetRentIncome,= Net Rent Income,decimal
Period,Period,string
Property,Property,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
UnitTags,Tags,text
UnitType,Unit Type,string
OccupancyId,Occupancy ID,id
UnitId,Unit ID,id
MarketRent,Market Rent,decimal
RentCharges,Rent Charges,decimal
,,
,,
Guest Cards,,
Report Endpoint ID,guest_cards,
Date Range Options,"from_date, to_date",
Property Filter,,
Property Group Filter,,
Owner Filter,,
Status Filter,,
Columns Endpoint,Description,Type
Name,Name,string
EmailAddress,Email Address,string
PhoneNumber,Phone Number,string
Received,Interest Received,datetime
LastActivityDate,Last Activity Date,date
LastActivityType,Last Activity Type,string
Status,Status,string
MoveInPreference,Move In Preference,date
MaxRent,Max Rent,decimal
BedBathPreference,Bed Bath Preference,string
PetPreference,Pet Preference,string
MonthlyIncome,Monthly Income,decimal
CreditScore,Credit Score,string
LeadType,Lead Type,string
Source,Source,string
Property,Property,string
Unit,Unit,string
AssignedUser,Assigned User,string
AssignedUserID,Assigned User ID,id
GuestCardId,Guest Card ID,id
PropertyId,Property ID,string
UnitId,Unit ID,id
Notes,Notes,mediumtext
PropertyName,Property Name,string
TenantId,Tenant ID,id
,,
,,
Homeowner Directory,,
Report Endpoint ID,homeowner_directory,
Date Range Options,none,
Property Filter,,
Property Group Filter,,
Owner Filter,,
Status Filter,,
Columns Endpoint,Description,Type
Property,Property,string
Unit,Unit,string
Homeowner,Homeowner,string
ElectronicDeliveryConsent,Electronic Delivery Consent,yes_no
Status,Status,string
RenterOccupiedUnit,Renter Occupied Unit,yes_no
HomeownerType,Homeowner Type,string
PhoneNumbers,Phone Numbers,string
Emails,Emails,string
LockboxId,Lockbox ID,string
OwnershipPercentage,Ownership Percentage,string
Dues,Dues,decimal
Tags,Tags,text
HomeownerAddress,Homeowner Address,string
HomeownerStreet1,Homeowner Street Address 1,string
HomeownerStreet2,Homeowner Street Address 2,string
HomeownerCity,Homeowner City,string
HomeownerState,Homeowner State,string
HomeownerZip,Homeowner Zip,string
HomeownerCountry,Homeowner Country,string
HomeownerBirthdate,Homeowner Birthdate,string
UnitAddress,Unit Address,string
UnitStreet1,Unit Street Address 1,string
UnitStreet2,Unit Street Address 2,string
UnitCity,Unit City,string
UnitState,Unit State,string
UnitZip,Unit Zip,string
PropertyName,Property Name,string
PropertyId,Property ID,id
PropertyAddress,Property Address,string
PropertyStreet1,Property Street Address 1,string
PropertyStreet2,Property Street Address 2,string
PropertyCity,Property City,string
PropertyState,Property State,string
PropertyZip,Property Zip,string
FirstName,First Name,string
LastName,Last Name,string
CertifiedFundsOnly,Certified Funds Only,yes_no
EligibleForDuesIncrease,Eligible for Dues Increase,date
LastDuesIncrease,Last Dues Increase,date
NextDuesAdjustment,Next Dues Increase Date,date
OnlinePortalActivated,Online Portal Activated,yes_no
OnlinePaymentsRecurringTotal,Online Payments Recurring Total,string
OnlinePaymentsRecurringCount,Online Payments Recurring Count,integer
OnlinePortalLogin,Online Portal Login,string
SendDuesReminders,Send Dues Reminders,yes_no
UnitTags,Unit Tags,text
UnitType,Unit Type,string
LateFeeType,Late Fee Type,string
LateFeeBaseAmount,Late Fee Base Amount,decimal
LateFeeDailyAmount,Late Fee Daily Amount,decimal
DuesGraceDays,Grace Period,integer
DuesGraceDayFixedDay,Grace Period Fixed Day,integer
LateFeeGraceBalance,Grace Balance,decimal
MaxDailyLateFeesAmount,Max Daily Late Fees Amount,decimal
IgnorePartialPayments,Ignore Partial Payments,string
PurchaseDate,Purchase Date,date
SaleDate,Sale Date,date
