label,url,type,notes
Apply Now,https://highlandrealestatepartners.appfolio.com/apply/9ccea374-8cca-48fa-8f86-4aff06b01f03/start?source=Website,primary_cta,Use for application CTAs
Available Units,https://www.highlandptrs.com/chicago-availability?search=exhibit,primary_cta,"Use anywhere units, availability, pricing, or current inventory is referenced"
Floor Plans,/floor-plans,internal,
Photo Gallery,/photo-gallery,internal,
Virtual Tour,/virtual-tour,internal,
Amenities,/amenities,internal,
Pet Friendly,/pet-friendly,internal,
Neighborhood,/neighborhood,internal,
Artist-in-Residence,/artist-in-residence,internal,
Contact Us,/contact-us,internal,
Map + Directions,/map-directions,internal,
Residents,/residents,internal,
Schedule a Tour,/schedule-a-tour,internal,
Reviews,/reviews,internal,
