from,to,type,notes
/apartments/il/chicago/floor-plans,/floor-plans,301,Short clean slug for rebuilt site
/apartments/il/chicago/photo-gallery,/photo-gallery,301,Short clean slug for rebuilt site
/apartments/il/chicago/virtual-tour,/virtual-tour,301,Short clean slug for rebuilt site
/apartments/il/chicago/amenities,/amenities,301,Short clean slug for rebuilt site
/apartments/il/chicago/pet-friendly,/pet-friendly,301,Short clean slug for rebuilt site
/apartments/il/chicago/neighborhood,/neighborhood,301,Short clean slug for rebuilt site
/apartments/il/chicago/artist-in-residence,/artist-in-residence,301,Short clean slug for rebuilt site
/apartments/il/chicago/contact-us,/contact-us,301,Short clean slug for rebuilt site
/apartments/il/chicago/map-directions,/map-directions,301,Short clean slug for rebuilt site
/apartments/il/chicago/residents,/residents,301,Short clean slug for rebuilt site
/apartments/il/chicago/schedule-a-tour,/schedule-a-tour,301,Short clean slug for rebuilt site
/apartments/il/chicago/reviews,/reviews,301,Short clean slug for rebuilt site
/apartments/il/chicago/apply,https://highlandrealestatepartners.appfolio.com/apply/9ccea374-8cca-48fa-8f86-4aff06b01f03/start?source=Website,301,Redirect to Highland's AppFolio application page.
