index,title,size_mb,download_url
1,"606 - 2 Bed 1 Bath",296.1,https://cdn.realync.com/transcoded-videos-s/2160_4849F933-9C9E-46AD-8562-38E17C48DF61/2160_4849F933-9C9E-46AD-8562-38E17C48DF61_2160_mc.mp4
2,"2006 - 2 Bed 1 bath ",134.1,https://cdn.realync.com/transcoded-videos-s/2160_8cd2d77a-3590-41ea-aaee-14a6a86d88a7/2160_8cd2d77a-3590-41ea-aaee-14a6a86d88a7_2160_mc.mp4
3,"2 Bed Plus Den - 2804",366.0,https://cdn.realync.com/transcoded-videos-s/2160_E419BAAD-C730-4361-A95B-E3A45E50F3F8/2160_E419BAAD-C730-4361-A95B-E3A45E50F3F8_2160_mc.mp4
4,"207 - 1 Bedroom (North Facing)",294.0,https://cdn.realync.com/transcoded-videos-s/2160_E3C9E5B8-2157-4885-B306-C72F93B44CBD/2160_E3C9E5B8-2157-4885-B306-C72F93B44CBD_2160_mc.mp4
5,"2702 - Large Convertible",267.8,https://cdn.realync.com/transcoded-videos-s/2160_D32B0D0A-0317-4E96-9E2C-E96DC9BD1C05/2160_D32B0D0A-0317-4E96-9E2C-E96DC9BD1C05_2160_mc.mp4
6,"2801 - Corner 2 Bed 2 Bath",412.3,https://cdn.realync.com/transcoded-videos-s/2160_9CFD9451-3147-45BC-875D-221B3D0ABB1E/2160_9CFD9451-3147-45BC-875D-221B3D0ABB1E_2160_mc.mp4
7,"2207 - 1 Bedroom",279.6,https://cdn.realync.com/transcoded-videos-s/2160_8F163E42-140B-4121-9EFA-98076671AF72/2160_8F163E42-140B-4121-9EFA-98076671AF72_2160_mc.mp4
8,"1709 - Corner 2 Bed 1 Bath",380.9,https://cdn.realync.com/transcoded-videos-s/2160_246D6528-D82B-4AB7-B399-192D9451C845/2160_246D6528-D82B-4AB7-B399-192D9451C845_2160_mc.mp4
9,"2302 - Large Convertible",273.3,https://cdn.realync.com/transcoded-videos-s/2160_3F0C8A15-CE65-4668-AB4E-4753DDF1C151/2160_3F0C8A15-CE65-4668-AB4E-4753DDF1C151_2160_mc.mp4
10,"2409 - 2 Bed 1 Bath",368.8,https://cdn.realync.com/transcoded-videos-s/2160_DE42738B-7F66-4F7A-8A04-F1F915C5F635/2160_DE42738B-7F66-4F7A-8A04-F1F915C5F635_2160_mc.mp4
11,"1907 - 1 Bedroom",273.9,https://cdn.realync.com/transcoded-videos-s/2160_D8698976-C410-4993-84D0-9E3918454718/2160_D8698976-C410-4993-84D0-9E3918454718_2160_mc.mp4
12,"2910 - Jr Convertible (ADA)",255.6,https://cdn.realync.com/transcoded-videos-s/2160_58A19D35-FA99-4CB9-B9C5-AE8BAE95CB20/2160_58A19D35-FA99-4CB9-B9C5-AE8BAE95CB20_2160_mc.mp4
13,"1004 - Corner 2 Bed Plus Den (ADA)",470.6,https://cdn.realync.com/transcoded-videos-s/2160_B7C51494-C2FD-48B6-8DB5-D9246768CA68/2160_B7C51494-C2FD-48B6-8DB5-D9246768CA68_2160_mc.mp4
14,"2703 - ‘03 Studio",266.5,https://cdn.realync.com/transcoded-videos-s/2160_4BDA4233-3176-4DE3-B37B-273033352783/2160_4BDA4233-3176-4DE3-B37B-273033352783_2160_mc.mp4
15,"3201 - Corner 3 Bed 3 Bath",555.5,https://cdn.realync.com/transcoded-videos-s/2160_C89AE2AD-6BBA-4129-906D-59B18E8F3F80/2160_C89AE2AD-6BBA-4129-906D-59B18E8F3F80_2160_mc.mp4
16,"3107 - Corner 2 Bed 1 Bath",408.9,https://cdn.realync.com/transcoded-videos-s/2160_72891D62-D439-44A6-8DD8-CE26A26BABAF/2160_72891D62-D439-44A6-8DD8-CE26A26BABAF_2160_mc.mp4
17,"3105 - 1 Bedroom",344.1,https://cdn.realync.com/transcoded-videos-s/2160_E66CAF64-2BF2-494E-B4E9-E667265173D6/2160_E66CAF64-2BF2-494E-B4E9-E667265173D6_2160_mc.mp4
18,"2301 - 2 Bed 2 Bathroom",389.4,https://cdn.realync.com/transcoded-videos-s/2160_1B9C254A-59D8-49CA-B7C9-FAEA66249FA3/2160_1B9C254A-59D8-49CA-B7C9-FAEA66249FA3_2160_mc.mp4
19,"809 - 2 Bed 1 Bath",339.1,https://cdn.realync.com/transcoded-videos-s/2160_2968B49C-C5D9-40D2-9AA5-4C6F5E36CCF1/2160_2968B49C-C5D9-40D2-9AA5-4C6F5E36CCF1_2160_mc.mp4
