id,source_url,local_path,filename,alt,role,content_type,used_on_source_pages,status
image-001,https://assets.marketapts.com/assets/converted/662PBC/assets/imagefroms3/662PBC/images/material/662PBC/neighborhood/neighborhood1.jpg,/assets/source/neighborhood1-d05b8723.jpg,neighborhood1-d05b8723.jpg,,img,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/neighborhood | https://www.woodscrossingslc.com/north-salt-lake-ut/neighborhood | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-002,https://assets.marketapts.com/assets/converted/662PBC/assets/imagefroms3/662PBC/images/material/662PBC/neighborhood/neighborhood2.jpg,/assets/source/neighborhood2-13098365.jpg,neighborhood2-13098365.jpg,,img,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/neighborhood | https://www.woodscrossingslc.com/north-salt-lake-ut/neighborhood | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-003,https://assets.marketapts.com/assets/converted/662PBC/assets/imagefroms3/662PBC/images/material/662PBC/neighborhood/neighborhood3.jpg,/assets/source/neighborhood3-a7452fcf.jpg,neighborhood3-a7452fcf.jpg,,img,image/jpeg,https://www.woodscrossingslc.com/ | https://www.woodscrossingslc.com/frequently-asked-questions | https://www.woodscrossingslc.com/neighborhood | https://www.woodscrossingslc.com/north-salt-lake-ut/neighborhood | https://www.woodscrossingslc.com/virtual-tours,downloaded
image-004,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/2b85594d-d208-48e7-8fa4-24aa849511b5.jpg.800x600.jpg,/assets/source/woods-crossing-apartments-floor-plan-layout-b-8658e05e.jpg,woods-crossing-apartments-floor-plan-layout-b-8658e05e.jpg,Woods Crossing Apartments Floor Plan LAYOUT B,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-b | https://www.woodscrossingslc.com/apply-now/layout-b/1d | https://www.woodscrossingslc.com/apply-now/layout-b/8f | https://www.woodscrossingslc.com/floor-plans,downloaded
image-005,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/2b85594d-d208-48e7-8fa4-24aa849511b5.jpg.800x600.webp,/assets/source/2b85594d-d208-48e7-8fa4-24aa849511b5-166943df.800x600.webp,2b85594d-d208-48e7-8fa4-24aa849511b5-166943df.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-b | https://www.woodscrossingslc.com/apply-now/layout-b/1d | https://www.woodscrossingslc.com/apply-now/layout-b/8f | https://www.woodscrossingslc.com/floor-plans,downloaded
image-006,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/522e9f0a-b22e-4831-8195-12c18ac444fd.jpg.800x600.jpg,/assets/source/woods-crossing-apartments-floor-plan-layout-c-88376517.jpg,woods-crossing-apartments-floor-plan-layout-c-88376517.jpg,Woods Crossing Apartments Floor Plan LAYOUT C,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-c | https://www.woodscrossingslc.com/apply-now/layout-c/1g | https://www.woodscrossingslc.com/floor-plans,downloaded
image-007,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/522e9f0a-b22e-4831-8195-12c18ac444fd.jpg.800x600.webp,/assets/source/522e9f0a-b22e-4831-8195-12c18ac444fd-42c0f03d.800x600.webp,522e9f0a-b22e-4831-8195-12c18ac444fd-42c0f03d.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-c | https://www.woodscrossingslc.com/apply-now/layout-c/1g | https://www.woodscrossingslc.com/floor-plans,downloaded
image-008,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/b7c164a6-eec8-4f47-994c-0f26f26e8cee.jpg.800x600.jpg,/assets/source/woods-crossing-apartments-floor-plan-layout-a-c586b4e2.jpg,woods-crossing-apartments-floor-plan-layout-a-c586b4e2.jpg,Woods Crossing Apartments Floor Plan LAYOUT A,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-a | https://www.woodscrossingslc.com/apply-now/layout-a/6a | https://www.woodscrossingslc.com/apply-now/layout-a/7e | https://www.woodscrossingslc.com/floor-plans,downloaded
image-009,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/b7c164a6-eec8-4f47-994c-0f26f26e8cee.jpg.800x600.webp,/assets/source/b7c164a6-eec8-4f47-994c-0f26f26e8cee-d479780a.800x600.webp,b7c164a6-eec8-4f47-994c-0f26f26e8cee-d479780a.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-a | https://www.woodscrossingslc.com/apply-now/layout-a/6a | https://www.woodscrossingslc.com/apply-now/layout-a/7e | https://www.woodscrossingslc.com/floor-plans,downloaded
image-010,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/d6d9fe0f-de96-428b-b5ff-517ed62d2a7b.jpg.800x600.jpg,/assets/source/woods-crossing-apartments-floor-plan-layout-d-3b1ef126.jpg,woods-crossing-apartments-floor-plan-layout-d-3b1ef126.jpg,Woods Crossing Apartments Floor Plan LAYOUT D,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-d | https://www.woodscrossingslc.com/apply-now/layout-d/1h | https://www.woodscrossingslc.com/apply-now/layout-d/8j | https://www.woodscrossingslc.com/floor-plans,downloaded
image-011,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/floorplans/d6d9fe0f-de96-428b-b5ff-517ed62d2a7b.jpg.800x600.webp,/assets/source/d6d9fe0f-de96-428b-b5ff-517ed62d2a7b-630da09f.800x600.webp,d6d9fe0f-de96-428b-b5ff-517ed62d2a7b-630da09f.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/apartments/layout-d | https://www.woodscrossingslc.com/apply-now/layout-d/1h | https://www.woodscrossingslc.com/apply-now/layout-d/8j | https://www.woodscrossingslc.com/floor-plans,downloaded
image-012,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/20a36759840b0a9f3cfb9ded7473e24d.jpg.800x600.jpg,/assets/source/apartments-in-north-salt-lake-72cb0a3b.jpg,apartments-in-north-salt-lake-72cb0a3b.jpg,Apartments in North Salt Lake,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-013,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/20a36759840b0a9f3cfb9ded7473e24d.jpg.800x600.webp,/assets/source/20a36759840b0a9f3cfb9ded7473e24d-f739b9cd.800x600.webp,20a36759840b0a9f3cfb9ded7473e24d-f739b9cd.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-014,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/20a36759840b0a9f3cfb9ded7473e24d.jpg.jpg.800x600.jpg,/assets/source/apartments-in-north-salt-lake-717e61eb.jpg,apartments-in-north-salt-lake-717e61eb.jpg,Apartments in North Salt Lake,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-015,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/3bd78d2fdbc6d574ed2dfdecefd6fd5b.jpg.800x600.jpg,/assets/source/playground-and-picnic-table-woods-crossing-c1ad6099.jpg,playground-and-picnic-table-woods-crossing-c1ad6099.jpg,Playground and Picnic Table | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-016,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/3bd78d2fdbc6d574ed2dfdecefd6fd5b.jpg.800x600.webp,/assets/source/3bd78d2fdbc6d574ed2dfdecefd6fd5b-2f7d2d80.800x600.webp,3bd78d2fdbc6d574ed2dfdecefd6fd5b-2f7d2d80.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-017,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/3bd78d2fdbc6d574ed2dfdecefd6fd5b.jpg.jpg.800x600.jpg,/assets/source/playground-and-picnic-table-woods-crossing-51a56ac7.jpg,playground-and-picnic-table-woods-crossing-51a56ac7.jpg,Playground and Picnic Table | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-018,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/5atfnqnh47dzi9em79gmgqbu50sv60ba.jpg.800x600.jpg,/assets/source/living-room-with-kitchen-and-carpeted-flooring-woods-crossin-39d8575a.jpg,living-room-with-kitchen-and-carpeted-flooring-woods-crossin-39d8575a.jpg,Living Room with Kitchen and Carpeted Flooring | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-019,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/5atfnqnh47dzi9em79gmgqbu50sv60ba.jpg.800x600.webp,/assets/source/5atfnqnh47dzi9em79gmgqbu50sv60ba-a6e4174b.800x600.webp,5atfnqnh47dzi9em79gmgqbu50sv60ba-a6e4174b.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-020,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/5atfnqnh47dzi9em79gmgqbu50sv60ba.jpg.jpg.800x600.jpg,/assets/source/living-room-with-kitchen-and-carpeted-flooring-woods-crossin-c90f9b87.jpg,living-room-with-kitchen-and-carpeted-flooring-woods-crossin-c90f9b87.jpg,Living Room with Kitchen and Carpeted Flooring | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-021,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/730a618f673f5be717cc16c547f88ee3.jpg.800x600.jpg,/assets/source/clubhouse-woods-crossing-89befd99.jpg,clubhouse-woods-crossing-89befd99.jpg,Clubhouse | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-022,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/730a618f673f5be717cc16c547f88ee3.jpg.800x600.webp,/assets/source/730a618f673f5be717cc16c547f88ee3-1a74cba6.800x600.webp,730a618f673f5be717cc16c547f88ee3-1a74cba6.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-023,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/730a618f673f5be717cc16c547f88ee3.jpg.jpg.800x600.jpg,/assets/source/clubhouse-woods-crossing-f08e1ba0.jpg,clubhouse-woods-crossing-f08e1ba0.jpg,Clubhouse | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-024,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/7c7c94bf794c56178ec65d9ab51d2f71.jpg.800x600.jpg,/assets/source/bedroom-woods-crossing-6744a928.jpg,bedroom-woods-crossing-6744a928.jpg,Bedroom | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-025,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/7c7c94bf794c56178ec65d9ab51d2f71.jpg.800x600.webp,/assets/source/7c7c94bf794c56178ec65d9ab51d2f71-e01eebed.800x600.webp,7c7c94bf794c56178ec65d9ab51d2f71-e01eebed.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-026,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/7c7c94bf794c56178ec65d9ab51d2f71.jpg.jpg.800x600.jpg,/assets/source/bedroom-woods-crossing-d9297ddf.jpg,bedroom-woods-crossing-d9297ddf.jpg,Bedroom | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-027,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/93deecfc055e999b49cad87c4cdc2e48.jpg.800x600.jpg,/assets/source/clubhouse-lounge-woods-crossing-54fc51e2.jpg,clubhouse-lounge-woods-crossing-54fc51e2.jpg,Clubhouse Lounge | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-028,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/93deecfc055e999b49cad87c4cdc2e48.jpg.800x600.webp,/assets/source/93deecfc055e999b49cad87c4cdc2e48-a51928b3.800x600.webp,93deecfc055e999b49cad87c4cdc2e48-a51928b3.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-029,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/93deecfc055e999b49cad87c4cdc2e48.jpg.jpg.800x600.jpg,/assets/source/clubhouse-lounge-woods-crossing-3cea8c79.jpg,clubhouse-lounge-woods-crossing-3cea8c79.jpg,Clubhouse Lounge | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-030,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/a10a7deda84e5c78d805de7ff45d9d13.jpg.800x600.jpg,/assets/source/living-room-woods-crossing-2e8b291c.jpg,living-room-woods-crossing-2e8b291c.jpg,Living Room | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-031,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/a10a7deda84e5c78d805de7ff45d9d13.jpg.800x600.webp,/assets/source/a10a7deda84e5c78d805de7ff45d9d13-5ff82586.800x600.webp,a10a7deda84e5c78d805de7ff45d9d13-5ff82586.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-032,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/a10a7deda84e5c78d805de7ff45d9d13.jpg.jpg.800x600.jpg,/assets/source/living-room-woods-crossing-b394225a.jpg,living-room-woods-crossing-b394225a.jpg,Living Room | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-033,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/aaa20cbd734c69b461736cfcd62c786d.jpg.800x600.jpg,/assets/source/club-house-exterior-woods-crossing-5b2ff0df.jpg,club-house-exterior-woods-crossing-5b2ff0df.jpg,Club House Exterior | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
image-034,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/aaa20cbd734c69b461736cfcd62c786d.jpg.800x600.webp,/assets/source/aaa20cbd734c69b461736cfcd62c786d-f2bdd14f.800x600.webp,aaa20cbd734c69b461736cfcd62c786d-f2bdd14f.800x600.webp,,source,image/webp,https://www.woodscrossingslc.com/accessible-one-page | https://www.woodscrossingslc.com/gallery,downloaded
image-035,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/aaa20cbd734c69b461736cfcd62c786d.jpg.jpg.800x600.jpg,/assets/source/club-house-exterior-woods-crossing-3f1debe4.jpg,club-house-exterior-woods-crossing-3f1debe4.jpg,Club House Exterior | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/gallery,downloaded
image-036,https://assets.marketapts.com/assets/converted/662PBC/images/apartments/photos/aacb5540b7ffb32254674f11d26756fe.jpg.800x600.jpg,/assets/source/monument-sign-woods-crossing-5e87ad2b.jpg,monument-sign-woods-crossing-5e87ad2b.jpg,Monument Sign | Woods Crossing,img,image/jpeg,https://www.woodscrossingslc.com/accessible-one-page,downloaded
